"Num Rue","Nom Rue","Ville","Code Postal"
239,"Coaker's Walk","Kirari Suleman Nagar",23459
1509,"آزادی","ورامین",98229
8872,"Avenue du Fort-Caire","Grabs",7844
5808,"Concession Road 23","Grand Falls","O1M 9T2"
8250,"Pierre Ave","Richmond","I7N 6X2"
26,"Necatibey Cd","Tunceli",14884
9016,"Wellesley Street","Tauranga",81135
3495,"Bahnhofstraße","Bad Frankenhausen/Kyffhäuser",75505
6966,"The Crescent","Naas",48980
9073,"Rua Vinte E Dois ","Uruguaiana",62325
8454,"Calle de Segovia","Burgos",56950
9444,"Rue du Château","Sullens",2514
9814,"Rue Cyrus-Hugues","Boulogne-Billancourt",24795
5647,"Hazratganj","Nanded",26736
6999,"Marsh Ln","Buffalo",62968
2584,"Aasmund Vinjes vei","Olden","2647"
9683,"Stevens Creek Blvd","Mildura",8983
6688,"Danziger Straße","Attendorn",76791
6360,"South Street","Aberdeen","T52 7GT"
512,"Kingsway","Bradford","Y6 3PQ"
3225,"دکتر فاطمی","سبزوار",69187
1907,"Oficerska ploshcha","Vishgorod",45413
1488,"Continuación Zamora","Buenos Aires(Zinacántal)",14445
6895,"دکتر لواسانی","ملارد",50812
6352,"Forest Ln","Bathurst",3050
4323,"Retorno Salcido","Molcaxac",31973
7785,"Rue de Cuire","Orléans",91005
2125,"Wycliff Ave","Ennis",85843
6373,"Pecan Acres Ln","Torrance",85381
5671,"Napier-Hastings Expressway","Hamilton",80048
1269,"Begijnstraat","Gelselaar","8967 TP"
5311,"Rue de la Gare","Vitry-sur-Seine",86637
497,"Rue Abel-Ferry","Brest",73185
772,"Tulpenweg","Friedrichshafen",31751
3276,"Place du 8 Février 1962","Mettmenstetten",4912
225,"Tahmelantie","Suonenjoki",45830
8066,"Blagoja Simića Fuzije","Koceljeva",32001
553,"Marsh Ln","Orange",6568
9659,"Rua José Bonifácio ","Araras",89449
282,"Titova","Lajkovac",94482
9637,"Park Lane","Chester","D91 8TL"
191,"Viaducto Turkmenistán","San Felipe del Progreso",85427
5853,"Atatürk Sk","Bursa",62948
1469,"Maple Ave","Dorchester","G0A 6P7"
4542,"Erlenweg","Hagenbach",51371
2742,"West Ave","Greenwood","T4Y 3P3"
1756,"Timber Wolf Trail","Manchester",22285
6330,"Lunn Avenue","Whangarei",55921
870,"Lone Wolf Trail","Bendigo",2084
8185,"Church Lane","Swansea","R8I 5SU"
5790,"Elmegade","Askeby",37642
9066,"Nedre Prinsdals vei","Jevnaker","3215"
4045,"Rua Piauí ","Teresina",66836
2727,"Bore Radojevića","Sremski Karlovci",24113
7788,"Schützenstraße","Dortmund",80476
7199,"Main St","Fauquier","Z2Z 5K7"
2046,"Tunalı Hilmi Cd","Gaziantep",29745
5787,"Mustads vei","Sylling","2451"
4848,"Sao Tome Old Quarter","Rewa",49322
5492,"Magistratska","Zinkiv",66272
6454,"Hybenvænget","København Ø",99560
8063,"W Campbell Ave","Great Falls",72842
2542,"شهید شواخ","ایلام",26353
4198,"Rolling Green Rd","Gladstone",8092
4419,"Mittelstraße","Volkmarsen",64584
4631,"Rue Bossuet","Amiens",55744
2497,"Astrids vei","Verningen","2664"
9765,"Mint St","Avadi",35847
9269,"The Avenue","Hereford","G0 6UF"
3766,"Rue des Écoles","Pfäffikon",5505
5658,"Volodimiro-Libidska","Volochisk",34986
5075,"Tunalı Hilmi Cd","Kütahya",96556
9075,"Valley View Ln","Joliet",54212
6459,"Grand Marais Ave","Westport","N9P 2P2"
7838,"Fincher Rd","Bowral",2750
6221,"Gyvelvej","Hornbæk",90875
7064,"Rolling Green Rd","Melbourne",562
9179,"Rue de Cuire","Brest",25454
4911,"Quai Chauveau","Staldenried",9137
6157,"Ganzeven","De Veenhoop","0188 YY"
518,"Quai Chauveau","Essertines-sur-Rolle",9076
1095,"9th St","Killarney","W7Y 5I9"
2204,"Bulvar Verhovnoyi Radi","Chop",40576
9348,"جمهوری","دزفول",30652
6234,"Groessenseweg","Hattem","8337 JD"
6651,"E Sandy Lake Rd","Sunshine Coast",2914
5914,"Visiokatu","Sysmä",48726
4074,"Feldstraße","Zell im Wiesental",85019
8877,"Victoria Street","Blenheim",22057
1195,"Rolling Green Rd","Forney",33654
5624,"Rua Quatro","Ipatinga",60044
1815,"Porodice Damnjanović","Lapovo",84687
6252,"Gammel Køge Landevej","Aaborg Øst",93222
8273,"Goethestraße","Hamm",27845
2495,"Vovka","Bilgorod-Dnistrovskiy",62242
9893,"Mühlenweg","Goldberg",41799
4792,"Kennedy Road","Masterton",88414
7607,"Rue de la Mairie","Reconvilier",2151
4935,"Birkelunden","Sørvad",15065
5866,"شهید علی باستانی","کرمان",60372
